102 120
1 66 7
2 64 5
3 90 1
4 18 3
5 78 3
6 72 9
7 29 7
8 26 3
9 94 7
10 42 10
11 16 3
12 37 6
12 88 1
13 85 7
13 47 3
14 92 6
15 35 10
16 28 7
17 48 7
18 58 8
19 59 6
20 24 8
20 17 9
21 56 3
21 83 2
22 46 8
24 11 6
24 41 7
25 21 3
26 79 2
26 23 8
27 80 9
28 31 5
29 2 5
30 5 10
31 12 3
32 82 7
33 61 9
34 76 8
35 86 3
36 47 10
36 101 7
37 67 2
38 45 2
39 100 5
40 17 6
40 79 5
41 36 6
42 38 9
42 28 6
43 63 5
44 73 7
45 60 7
46 8 10
47 89 1
48 69 4
48 37 1
49 84 3
50 33 7
50 72 5
51 30 8
51 69 5
51 55 5
52 75 6
53 97 10
54 83 7
55 6 7
56 27 6
57 68 9
58 19 10
59 22 10
60 51 1
61 57 1
62 14 4
62 30 7
63 62 2
64 70 7
65 91 9
66 49 10
66 67 7
67 96 5
68 43 5
69 95 4
70 71 2
71 53 8
72 32 7
73 41 3
73 47 5
74 77 5
75 9 7
76 54 10
77 101 3
77 79 5
78 98 7
79 4 1
80 74 3
81 97 10
82 88 8
82 85 8
83 40 5
84 55 3
85 102 10
86 65 6
87 34 8
88 1 9
89 52 9
90 13 5
91 3 5
92 50 4
93 99 10
94 44 3
95 87 8
96 20 6
97 93 5
97 14 2
98 10 8
99 7 5
100 25 5
101 39 9
102 15 6
_____________
Output:
Level 2 (maximum cardinlaity matching) : 50
